,strain_name,strain_desc,strain_type,strain_percent_indica,strain_percent_sativa,strain_thc_percent,strain_flavors,strain_effects
1404,Allen Iverson OG,"Alien Iverson OG is a super rare indica dominant hybrid strain created through an unknown cross of powerful indica parents. Although its exact heritage is unknown, Alien Iverson OG is thought to be a member of the Alien family due to its high THC level and insane flavor. Alien Iverson OG has a super spicy citrus lemon flavor with a sharp yet savory earthy exhale. The aroma is of fresh earthy pine and lemony spices with an herbal overtone that’s almost like fresh ground pepper. The Alien Iverson high is truly out of this world, with euphoric effects that will leave your mind soaring. You’ll feel an influx of lifted happiness at the onset of the high that slams into your brain, knocking out any racing or negative thoughts and infusing you with a sense of pure bliss. A relaxing body high comes next, spreading from your head and neck throughout the rest of your body in warming waves. With these effects and its super high 22% + average THC level, Alien Iverson OG is said to be perfect for treating conditions such as cramps, depression, eye pressure, arthritis, and Crohn’s Disease. This bud has heavy dense dark olive green nugs with purple undertones, rich amber hairs, and a coating of matching amber crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,22.0,Earthy Sweet Sour Fruity Pine Woody,Euphoria Happy Relaxing Uplifting Euphoria Happy Relaxing Uplifting
1405,Glass Apple,"Glass Apple is a sativa dominant hybrid strain created through crossing the infamous Pineapple Express with the classic Glass Slipper strain. This bud took home the gold medal for Best Hybrid at the 2013 Rooster Class, and for good reason. With its super high 22-23% average THC level and well-balanced effects, you’ll find yourself reaching for Glass Apple again and again. The Glass Apple high has an energetic onset that builds through your entire body with lifted euphoric effects. You’ll feel a touch of creativity that’s slightly unfocused as the high builds, lending itself well to artistic activity that doesn’t involve a lot of brainpower. Throughout this happy high, you’ll remain physically relaxed, keeping you anchored to the world below. Thanks to these effects, Glass Apple is often chosen to treat a variety of conditions including chronic fatigue, depression, headaches, loss of appetite, and nausea. This bud has a sweet yet sour tart apple flavor with a tropical citrus exhale. The aroma is very earthy and citrusy with a sour apple overtone. Glass Apple buds have small tight heart-shaped forest green nugs with dark amber hairs and a coating of bright white crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,22.5,Earthy Citrus Sweet Sour Tropical Apple,Creative Energizing Euphoria Happy Relaxing Uplifting Creative Energizing Euphoria Happy Relaxing Uplifting
1406,Chairman Chem Sou,Chairman Chem Sou is a rare sativa dominant hybrid strain created through crossing the classic,Sativa Dominant Hybrid,30% Indica,70% Sativa,14.0,Earthy Citrus Chemical Diesel Sour Spicy Herbal Pungent,Creative Energizing Euphoria Happy Relaxing Uplifting Creative Energizing Euphoria Happy Relaxing Uplifting
1407,Chocoholic,"Chocoholic is a slightly sativa dominant hybrid (55% sativa/45% indica) strain created through crossing the delicious Chocolope SkunkBerry with the tasty DaluxBerry weed strain. This amazing combination yields a super tasty bud that packs mouthwatering sweet chocolate and vanilla flavors with rich ripe berries. The aroma is very earthy and chocolaty with hints of skunky coffee and spicy fruits. Chocoholic buds have fluffy fat minty green nugs with long thin light amber hairs and a coating of super thick frosty bright white crystal trichomes. The Chocoholic high has definite creeping effects that sneak up on you long after you toke before filling you with a lifted sense of euphoria and deep calm. As your mind soars, your body will fall into a state of tingly relaxation that can cause you to become slightly sleepy and couch-locked at times. You may experience a hefty case of the munchies in this state, so be sure to have some snacks on hand! Thanks to these effects and its high 18-20% average THC level, Chocoholic is said to be perfect for treating conditions such as chronic pain, muscle spasms or cramps, fatigue, insomnia, and appetite loss or nausea.",Sativa Dominant Hybrid,45% Indica,55% Sativa,19.0,Earthy Coffee Sweet Fruity Berry Skunky Chocolate Vanilla,Body High Hungry Relaxing Sleepy Body High Hungry Relaxing Sleepy
1408,Caramel Kona Coffee Kush,"Caramel Kona Coffee Kush is a rare indica dominant hybrid strain created through crossing the delicious Caramel Kush with the tasty Kona Gold strain. If you’re looking for a high level of potency and an addictive flavor, you’ve found it! Caramel Kona Coffee Kush packs a super high 15-20% average THC level and a mouthwatering flavor that will leave you begging for more. Each inhale brings tastes of sweet caramel and spicy coffee that linger long after you toke. The aroma is just as delicious, with an earthy coffee overtone accented by a touch of caramel and spice. The Caramel Kona Coffee Kush high is nothing to be sneezed at either – with its long lasting stoney effects you’ll be knocked flat on your back in no time at all. You’ll feel an influx of creativity and euphoria at the onset that lifts you into a state of giggly happiness. As your mind falls deeper and deeper into a cerebral stone, your body will soon follow suit, leaving you couch-locked and sleepy with no hope of moving any time soon. In combination with its high THC level, these effects make Caramel Kona Coffee Kush perfect for treating conditions such as chronic pain, cramps or muscle spasms, depression, and insomnia. This bud has small rounded fluffy olive green nugs with orange hairs and a coating of tiny sandy golden amber crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,17.5,Earthy Coffee Sweet Spicy Pungent Caramel,Body High Cerebral Euphoria Giggly Relaxing Sleepy Body High Cerebral Euphoria Giggly Relaxing Sleepy
1409,Bianca,Bianca is a rare sativa dominant hybrid strain created through crossing the potent (,Sativa Dominant Hybrid,30% Indica,70% Sativa,17.5,Sweet Floral Herbal Flowery Fragrant Pine Woody,Creative Euphoria Relaxing Sleepy Uplifting Creative Euphoria Relaxing Sleepy Uplifting
1410,Alien Apparition,Alien Apparition is an indica dominant hybrid strain crated through a cross of (,Indica Dominant Hybrid,70% Indica,30% Sativa,17.5,Earthy Sweet Citrus Blueberry Fruity Lemon Berry,Aroused Creative Euphoria Happy Hungry Relaxing Sleepy Aroused Creative Euphoria Happy Hungry Relaxing Sleepy
1411,Bubba Fresh,"Bubba Fresh is a rare indica dominant hybrid strain created through crossing the classic Pre-98 Bubba Kush and the delicious Banana OG strains. This tasty bud gives you a new and fresh take on the classic Bubba Kush infusing fresh banana and chocolate flavors into each kushy toke. The aroma is very earthy and chocolaty with a coffee fruity overtone accented by herbs and banana. The Bubba Fresh high is just as delicious as is flavor, with long-lasting lifted effects that are perfect for helping you fall asleep at the end of a long day. You’ll feel a lifted onset that infuses you with a deep sense of happiness and relaxation that washes over you in warming waves. As these effects grow and expand, you’ll begin to fall into an almost trance-like sedative state that lulls you into a deep and peaceful sleepy. Thanks to these effects and its high THC level, Bubba Fresh is said to be perfect for treating conditions such as mood swings, depression, chronic stress, insomnia, and chronic pain. This bud has fluffy popcorn-shaped olive green nugs with long thin orange hairs and a thick frosty coating of tiny bright white crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,,Earthy Coffee Sweet Herbal Fruity Chocolate,Euphoria Happy Relaxing Sleepy Uplifting Euphoria Happy Relaxing Sleepy Uplifting
1412,Apricot Helix Orange Tahoe,"Apricot Helix Orange Tahoe, also known as “AHOT,” is a rare slightly sativa dominant hybrid strain (60% sativa/40% indica) created through crossing the infamous Apricot Helix X Orange Tahoe strains. Super long name aside, this bud is a favorite of both breeders and patients alike because of its sturdy structure and highly medicinal effects. In fact, with its 1-2% CBD level, Apricot Helix Orange Tahoe is well-suited for treating a wide variety of conditions! The high is super lifted in nature with a euphoric overtone that leaves you feeling totally at ease and giggly at times, unfocused but totally happy about it. Thanks to these effects and its high 20%+ average THC level, Apricot Helix Orange Tahoe is said to be perfect for killing the effects of chronic fatigue, depression, chronic stress, mood swings, and nausea or appetite loss. This bud has a classic sweet fruity flavor with a sour spicy citrus exhale and a touch of rich apricot. The aroma is of sour citrus and spicy earth wit ha pungent overtone that turns peppery as the nugs are broken apart and burned. Apricot Helix Orange Tahoe buds have dense spade-shaped dusty green nugs with sparse orange hairs and a frosty coating of tiny amber crystal trichomes.",Sativa Dominant Hybrid,40% Indica,60% Sativa,20.0,Orange Citrus Sweet Sour Spicy Herbal Fruity Pungent,Euphoria Giggly Happy Relaxing Uplifting Euphoria Giggly Happy Relaxing Uplifting
1413,Chocolate Meringue,"Chocolate Meringue is a rare indica dominant hybrid strain created through crossing the delicious Lemon Tree and Chocolate Kush strains. With this bud, the flavor is exactly how you’d expect – fresh citrus and sweet chocolate with a touch of honey! The aroma is very fresh and earthy with a citrus pine overtone accented by rich deep chocolate and spices. The Chocolate Meringue high is just as addictive, with sociable effects that are perfect for getting you up and off the couch when you just can’t get going. You’ll feel a buzzy euphoric onset a few minutes after your fist hit, lifting you into a state of slight energy and motivation. This effect will quickly turn relaxing, leaving you slightly lethargic and kicking back before a sharp pang of hunger suddenly takes ahold of you. Thanks to these long-lasting effects and its super high 20-20% average THC level, Chocolate Meringue is often chosen to treat conditions such as chronic stress, depression, chronic fatigue, migraines or headaches, and appetite loss. This bud has super heavy dense dark green nugs with dark orange hairs and clear crystal trichomes dotted with sticky sweet resin.",Indica Dominant Hybrid,70% Indica,30% Sativa,17.5,Earthy Sweet Citrus Lemon Honey Pine Chocolate,Cerebral Euphoria Hungry Sociable Cerebral Euphoria Hungry Sociable
